date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:35:13	131062/131062	---M--	200	added ('OK')	application/javascript	etag:%2215a02e94-1fff6-58024d8831fe6%22	http://hackbpit.iosd.tech/js/uikit.min.js	G:/Hackbpit/hackbpit/hackbpit.iosd.tech/js/uikit.min.js	(from http://hackbpit.iosd.tech/)
00:35:14	1238/1238	---M--	200	added ('OK')	application/javascript	etag:%2215a02e8b-4d6-58024d78b5120%22	http://hackbpit.iosd.tech/js/email-decode.min.js	G:/Hackbpit/hackbpit/hackbpit.iosd.tech/js/email-decode.min.js	(from http://hackbpit.iosd.tech/)
00:35:28	85583/85583	---M--	200	added ('OK')	application/javascript	etag:%2215a02e8e-14e4f-58024d7fbc2dc%22	http://hackbpit.iosd.tech/js/jquery.js	G:/Hackbpit/hackbpit/hackbpit.iosd.tech/js/jquery.js	(from http://hackbpit.iosd.tech/)
00:35:37	51041/51041	---M--	200	added ('OK')	application/javascript	etag:%2215a02e89-c761-58024d7848e9f%22	http://hackbpit.iosd.tech/js/bootstrap.min.js	G:/Hackbpit/hackbpit/hackbpit.iosd.tech/js/bootstrap.min.js	(from http://hackbpit.iosd.tech/)
00:35:42	248158/248158	---M--	200	added ('OK')	image/jpeg	etag:%2215a0395e-3c95e-58161e4404188%22	http://hackbpit.iosd.tech/img/team.jpeg	G:/Hackbpit/hackbpit/hackbpit.iosd.tech/img/team.jpg	(from http://hackbpit.iosd.tech/)
00:35:44	35416/35416	---M--	200	added ('OK')	application/javascript	etag:%2215a02e8c-8a58-58024d7ba121d%22	http://hackbpit.iosd.tech/js/fullpage.min.js	G:/Hackbpit/hackbpit/hackbpit.iosd.tech/js/fullpage.min.js	(from http://hackbpit.iosd.tech/)
00:35:51	47095/47095	---M--	200	added ('OK')	application/javascript	etag:%2215a02e92-b7f7-58024d85024db%22	http://hackbpit.iosd.tech/js/scrolloverflow.js	G:/Hackbpit/hackbpit/hackbpit.iosd.tech/js/scrolloverflow.js	(from http://hackbpit.iosd.tech/)
00:35:52	44342/44342	---M--	200	added ('OK')	application/javascript	etag:%2215a02e90-ad36-58024d8201bbc%22	http://hackbpit.iosd.tech/js/owl.carousel.min.js	G:/Hackbpit/hackbpit/hackbpit.iosd.tech/js/owl.carousel.min.js	(from http://hackbpit.iosd.tech/)
00:35:52	1437/1437	---M--	200	added ('OK')	application/javascript	etag:%2215a02e8d-59d-58024d7af05ef%22	http://hackbpit.iosd.tech/js/jquery.inview.min.js	G:/Hackbpit/hackbpit/hackbpit.iosd.tech/js/jquery.inview.min.js	(from http://hackbpit.iosd.tech/)
00:35:53	4389/4389	---M--	200	added ('OK')	application/javascript	etag:%2215a02e91-1125-58024d81e2f89%22	http://hackbpit.iosd.tech/js/particles-init.js	G:/Hackbpit/hackbpit/hackbpit.iosd.tech/js/particles-init.js	(from http://hackbpit.iosd.tech/)
00:35:55	4679/4679	---M--	200	added ('OK')	application/javascript	etag:%2215a02e8a-1247-58024d76b1add%22	http://hackbpit.iosd.tech/js/custom.js	G:/Hackbpit/hackbpit/hackbpit.iosd.tech/js/custom.js	(from http://hackbpit.iosd.tech/)
00:35:56	1634/1634	---M-Z	200	added ('OK')	application/javascript	etag:W/%22662-uTQN1kSVAqJyvHK2Ic0K+AXmlng%22	https://unpkg.com/ionicons@4.5.1/dist/ionicons.js	G:/Hackbpit/hackbpit/unpkg.com/ionicons@4.5.1/dist/ionicons.js	(from http://hackbpit.iosd.tech/)
00:35:56	26614/26614	---M--	200	added ('OK')	application/javascript	etag:%2215a02e93-67f6-58024d84f4632%22	http://hackbpit.iosd.tech/js/particles.min.js	G:/Hackbpit/hackbpit/hackbpit.iosd.tech/js/particles.min.js	(from http://hackbpit.iosd.tech/)
00:35:57	40930/40930	---M-Z	200	added ('OK')	text/html	etag:%2215a02ea3-9fe2-58367a2f53e0b-gzip%22	http://hackbpit.iosd.tech/index.html	G:/Hackbpit/hackbpit/hackbpit.iosd.tech/index-2.html	(from http://hackbpit.iosd.tech/)
00:35:57	746/746	---M-Z	404	error ('Not%20Found')	text/html	etag:%22cc1696-2ea-58d3a47b99abc;58024d395b757-gzip%22	http://hackbpit.iosd.tech/css/owl.video.play.png	G:/Hackbpit/hackbpit/hackbpit.iosd.tech/css/owl.video.play.24.delayed	(from http://hackbpit.iosd.tech/css/owl.carousel.css)
00:41:28	7030448/7030448	---M--	200	added ('OK')	video/mp4	etag:%2215a0395c-6b4840-58161d586b98d;7030448%22	http://hackbpit.iosd.tech/iosdbpitfinal.mp4	G:/Hackbpit/hackbpit/hackbpit.iosd.tech/iosdbpitfinal.mp4	(from http://hackbpit.iosd.tech/)
00:41:29	28751/28751	---M--	200	added ('OK')	image/jpeg	etag:%2215a0407e-704f-58367a730fd3a%22	http://hackbpit.iosd.tech/img/aptron123.jpg	G:/Hackbpit/hackbpit/hackbpit.iosd.tech/img/aptron123.jpg	(from http://hackbpit.iosd.tech/)
00:41:29	6777/6777	---M--	200	added ('OK')	image/png	etag:%2215a02e87-1a79-58024d662ec99%22	http://hackbpit.iosd.tech/img/tech.png	G:/Hackbpit/hackbpit/hackbpit.iosd.tech/img/tech.png	(from http://hackbpit.iosd.tech/)
00:43:03	19467782/19467782	---M--	200	added ('OK')	application/pdf	etag:%2215a0395a-1290e06-58161bd50c10b%22	http://hackbpit.iosd.tech/Brochure.pdf	G:/Hackbpit/hackbpit/hackbpit.iosd.tech/Brochure.pdf	(from http://hackbpit.iosd.tech/)
